Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate,Days at Company
1,1,0,2.0,5.0,8.0,0.61,5752
0,0,0,1.0,2.0,4.0,0.26,6010
0,1,0,2.0,2.0,3.6,0.28,5752
1,0,1,2.0,5.0,8.7,0.71,6053
0,1,0,3.0,5.0,6.8,0.57,6101
0,1,1,2.0,3.0,4.9,0.39,5784
0,0,0,3.0,6.0,7.9,0.61,5854
1,0,0,3.0,6.0,7.6,0.62,5946
0,1,0,5.0,9.0,9.2,0.8,6050
1,1,1,4.0,6.0,6.5,0.63,5985
0,1,0,3.0,5.0,6.8,0.6,5876
0,0,0,4.0,8.0,8.7,0.79,5817
1,1,1,2.0,5.0,6.2,0.39,5882
0,1,0,3.0,5.0,5.8,0.36,6101
0,0,0,2.0,4.0,6.6,0.5,5910
1,0,0,4.0,7.0,8.2,0.72,5854
0,1,1,2.0,3.0,4.9,0.34,5922
0,1,0,1.0,2.0,4.1,0.27,6074
1,1,0,3.0,7.0,7.4,0.66,5895
1,1,1,1.0,2.0,4.4,0.27,5967
0,1,0,2.0,6.0,6.9,0.67,5778
0,0,1,1.0,2.0,5.3,0.38,5814
0,1,1,2.0,2.0,4.3,0.28,6030
1,0,1,0.0,1.0,0.8,0.05,5838
0,1,1,2.0,4.0,2.9,0.22,6021
0,1,1,1.0,3.0,5.0,0.39,6037
1,1,1,1.0,4.0,6.9,0.52,5968
0,1,0,3.0,5.0,4.7,0.39,5848
0,1,0,1.0,3.0,2.0,0.11,6065
0,1,0,2.0,4.0,5.4,0.44,5846
1,0,0,2.0,5.0,6.1,0.5,5924
0,0,1,1.0,4.0,5.1,0.41,5808
0,1,1,3.0,5.0,4.7,0.43,6003
1,1,1,3.0,5.0,5.4,0.46,5809
0,1,0,4.0,7.0,9.1,0.85,6078
1,1,1,1.0,3.0,5.0,0.35,6106
1,0,0,1.0,1.0,0.0,0.0,6036
1,0,1,2.0,4.0,4.3,0.34,6022
0,0,0,2.0,5.0,5.7,0.55,5824
1,1,1,4.0,6.0,6.8,0.62,5789
1,1,0,3.0,6.0,7.6,0.72,5879
1,0,1,3.0,8.0,8.3,0.71,5774
0,0,0,1.0,3.0,5.5,0.39,5888
0,1,0,1.0,3.0,5.3,0.48,5929
0,1,0,3.0,7.0,8.0,0.7,5982
1,1,1,4.0,6.0,6.4,0.56,5757
0,1,1,1.0,3.0,3.6,0.27,5857
0,0,1,2.0,5.0,7.0,0.66,5923
0,0,0,3.0,7.0,7.6,0.56,5807
1,1,0,2.0,5.0,8.7,0.79,5982
0,0,1,0.0,1.0,2.6,0.18,6059
0,1,1,2.0,4.0,4.7,0.33,6010
1,1,1,2.0,4.0,6.4,0.4,6067
0,1,0,2.0,5.0,5.8,0.39,6047
0,1,0,1.0,1.0,3.3,0.23,5886
0,0,1,2.0,4.0,5.9,0.45,6105
1,0,1,1.0,3.0,7.0,0.52,5790
0,1,0,4.0,7.0,7.2,0.6,5863
1,1,1,3.0,7.0,7.9,0.59,5831
0,1,1,1.0,3.0,5.9,0.36,5849
1,1,0,1.0,3.0,4.4,0.29,6046
1,1,1,2.0,5.0,5.2,0.34,6057
0,0,1,2.0,4.0,5.3,0.34,6023
0,0,1,3.0,4.0,5.2,0.46,5848
1,1,1,2.0,5.0,4.5,0.36,6054
0,0,0,2.0,3.0,6.6,0.45,5765
0,0,1,3.0,5.0,3.8,0.27,6090
1,0,0,3.0,7.0,7.6,0.65,6083
0,0,1,3.0,6.0,5.6,0.34,5972
0,1,1,1.0,3.0,5.4,0.37,5886
1,0,1,1.0,2.0,4.9,0.25,5929
1,1,0,2.0,5.0,7.3,0.57,5981
1,1,0,2.0,5.0,5.6,0.52,5985
0,0,0,4.0,8.0,7.8,0.75,5819
0,0,1,4.0,7.0,6.7,0.55,5918
0,1,0,1.0,4.0,6.5,0.43,6038
0,1,1,0.0,1.0,1.8,0.1,5881
0,0,0,3.0,6.0,8.1,0.68,5871
1,1,1,3.0,7.0,6.4,0.56,5992
1,1,1,3.0,8.0,7.2,0.73,6083
0,1,0,2.0,5.0,8.6,0.7,5860
1,0,0,4.0,8.0,9.5,0.88,5755
1,0,1,2.0,6.0,6.8,0.63,5883
0,1,0,2.0,5.0,6.5,0.62,6041
0,1,1,2.0,3.0,3.5,0.25,5851
1,1,0,2.0,3.0,4.8,0.4,5994
1,0,0,3.0,8.0,7.6,0.77,6073
1,0,1,3.0,6.0,6.2,0.58,6061
0,0,1,3.0,6.0,3.6,0.3,5854
1,0,0,3.0,6.0,8.0,0.61,6002
0,1,1,3.0,5.0,6.0,0.4,5811
0,1,1,1.0,3.0,3.8,0.33,6044
0,0,1,1.0,2.0,2.4,0.06,6015
1,1,1,1.0,4.0,4.3,0.36,5888
0,1,1,1.0,2.0,3.7,0.28,5847
1,0,1,2.0,5.0,5.6,0.37,6048
0,1,1,0.0,1.0,1.0,0.03,5965
0,0,1,2.0,5.0,7.2,0.67,5858
1,1,1,1.0,3.0,6.7,0.46,6026
0,1,1,3.0,8.0,7.5,0.72,5745
0,1,0,4.0,7.0,7.5,0.65,6022
0,0,0,0.0,1.0,4.0,0.24,6054
0,1,1,1.0,3.0,5.3,0.41,5774
0,0,0,2.0,5.0,7.5,0.68,5832
1,0,0,4.0,7.0,7.7,0.72,6079
1,1,1,0.0,2.0,4.4,0.33,6021
1,1,1,3.0,5.0,6.5,0.48,5822
1,0,1,2.0,4.0,5.5,0.48,6070
1,1,0,2.0,5.0,5.0,0.36,5779
1,0,0,4.0,10.0,9.2,0.91,5797
0,0,1,1.0,2.0,4.1,0.24,5751
0,1,0,3.0,6.0,5.5,0.45,5780
1,1,0,5.0,9.0,8.8,0.85,5936
0,1,0,2.0,4.0,5.5,0.34,5968
1,0,1,1.0,3.0,5.9,0.36,5775
0,1,1,2.0,4.0,4.5,0.34,5885
1,0,0,3.0,6.0,8.0,0.59,5989
0,1,1,2.0,4.0,5.8,0.44,5905
1,1,0,1.0,3.0,4.4,0.38,5785
1,0,0,3.0,6.0,7.5,0.59,5745
0,1,0,2.0,7.0,8.0,0.7,5937
1,0,0,2.0,3.0,6.1,0.42,5865
1,0,1,1.0,2.0,5.1,0.46,5962
0,1,1,3.0,5.0,4.7,0.39,6064
0,1,1,3.0,5.0,5.2,0.42,6045
1,0,1,0.0,1.0,0.0,0.0,5829
0,1,1,2.0,5.0,5.1,0.46,5814
1,0,1,1.0,2.0,4.4,0.3,5880
0,0,0,4.0,6.0,6.9,0.63,5806
0,1,0,2.0,5.0,5.3,0.45,5912
0,1,1,3.0,6.0,6.0,0.58,5864
1,0,0,4.0,7.0,8.6,0.67,6103
1,1,0,2.0,5.0,7.3,0.71,6029
0,1,1,1.0,3.0,5.5,0.48,6004
1,1,1,1.0,3.0,2.9,0.22,5967
0,0,0,3.0,6.0,5.1,0.43,5946
1,1,0,2.0,5.0,6.4,0.57,6062
0,1,1,3.0,4.0,6.1,0.47,5806
0,1,1,3.0,5.0,5.3,0.47,5946
0,0,1,1.0,4.0,5.5,0.34,5822
0,1,1,1.0,3.0,5.5,0.37,5825
0,1,0,3.0,7.0,7.8,0.8,5839
1,0,0,4.0,8.0,8.9,0.8,5956
0,1,1,1.0,4.0,6.9,0.49,5904
1,1,1,0.0,1.0,0.0,0.0,5887
1,1,1,4.0,9.0,9.3,0.86,5830
0,1,1,1.0,2.0,4.6,0.33,6035
0,1,1,3.0,6.0,5.7,0.5,5943
0,1,1,2.0,4.0,4.5,0.34,5812
1,0,1,0.0,2.0,4.7,0.23,6056
1,0,0,4.0,8.0,9.9,0.92,6074
0,1,1,3.0,6.0,6.3,0.44,5969
0,1,1,1.0,3.0,3.6,0.15,5845
0,1,1,0.0,2.0,4.3,0.32,6041
0,1,1,3.0,4.0,6.5,0.43,5895
1,1,0,4.0,9.0,8.7,0.78,6091
1,1,1,0.0,1.0,3.1,0.23,6045
1,1,1,2.0,4.0,3.6,0.21,5914
1,1,1,1.0,2.0,3.6,0.23,5881
0,0,1,3.0,5.0,5.7,0.4,5800
0,1,1,2.0,5.0,5.7,0.38,5780
0,1,0,0.0,1.0,0.5,0.0,6002
0,0,0,2.0,4.0,3.9,0.33,5769
0,0,0,2.0,5.0,7.0,0.62,5767
1,1,1,3.0,4.0,5.4,0.36,5942
0,1,1,2.0,3.0,3.7,0.28,5953
0,1,1,2.0,4.0,6.1,0.41,5856
1,1,1,0.0,1.0,2.8,0.1,6073
0,1,0,2.0,4.0,6.9,0.63,5803
1,1,1,3.0,7.0,7.3,0.67,6081
1,1,0,3.0,7.0,7.2,0.62,6004
1,1,1,2.0,7.0,9.0,0.77,6014
0,1,0,0.0,1.0,0.0,0.0,5921
1,0,1,2.0,6.0,5.6,0.51,5755
0,1,1,2.0,4.0,6.8,0.61,5746
0,1,1,1.0,3.0,5.1,0.41,6067
0,1,1,3.0,5.0,6.0,0.53,5919
0,1,1,1.0,3.0,6.8,0.5,5758
1,0,1,2.0,5.0,6.5,0.55,5787
1,1,1,4.0,6.0,5.7,0.49,5914
1,0,1,3.0,5.0,6.1,0.44,5816
1,1,1,3.0,7.0,8.8,0.7,6102
0,1,1,1.0,2.0,6.8,0.48,5814
1,1,0,2.0,5.0,6.8,0.6,6090
1,0,1,2.0,4.0,5.5,0.48,5852
0,1,1,2.0,3.0,4.5,0.21,5807
0,0,0,2.0,2.0,2.6,0.15,5905
1,1,0,5.0,10.0,10.0,0.98,5821
0,1,1,1.0,2.0,4.3,0.25,5796
1,0,0,3.0,8.0,8.8,0.7,6062
0,1,0,4.0,7.0,7.2,0.69,5916
1,1,1,1.0,3.0,4.4,0.33,5863
0,1,0,2.0,4.0,5.5,0.44,5770
0,0,0,2.0,5.0,7.8,0.57,5748
1,0,1,1.0,3.0,4.5,0.27,5980
1,1,0,4.0,6.0,6.7,0.67,5884
0,1,0,1.0,1.0,3.4,0.25,6083
0,1,0,0.0,1.0,3.6,0.18,5872
0,0,0,3.0,7.0,7.9,0.6,6075
0,1,1,2.0,5.0,5.3,0.39,5835
0,1,1,1.0,3.0,5.3,0.34,5844
0,0,0,3.0,6.0,5.5,0.52,5794
0,0,0,1.0,3.0,5.4,0.42,5990
1,0,1,1.0,1.0,4.8,0.28,5749
0,0,1,2.0,4.0,6.2,0.38,6100
1,0,0,4.0,6.0,6.9,0.59,5970
0,0,1,2.0,5.0,8.0,0.62,6086
1,0,0,3.0,7.0,8.7,0.76,5851
0,1,0,1.0,3.0,4.2,0.33,5887
1,1,0,2.0,2.0,4.2,0.28,5766
0,1,0,3.0,6.0,7.2,0.62,6084
0,1,1,2.0,4.0,5.2,0.45,5827
1,1,1,2.0,2.0,3.3,0.24,5851
1,1,0,2.0,5.0,6.3,0.53,5838
1,1,1,2.0,4.0,6.8,0.59,5985
1,0,1,3.0,5.0,3.8,0.29,6074
0,0,1,1.0,2.0,2.7,0.19,5976
0,1,0,4.0,7.0,8.1,0.65,6057
0,0,1,1.0,1.0,1.3,0.02,5765
0,1,1,2.0,4.0,7.0,0.47,5819
0,1,0,2.0,5.0,6.6,0.43,5809
0,1,0,2.0,5.0,7.9,0.61,5843
0,0,0,0.0,2.0,4.7,0.33,5890
0,1,0,2.0,4.0,7.9,0.6,5985
0,0,0,2.0,6.0,6.4,0.52,6046
1,1,1,5.0,9.0,9.3,0.93,5988
1,0,0,2.0,4.0,6.3,0.47,5754
1,1,0,3.0,7.0,6.9,0.51,6047
0,1,1,1.0,1.0,4.9,0.26,6070
0,0,1,3.0,4.0,5.2,0.42,6005
0,1,0,2.0,5.0,6.2,0.58,5784
0,1,1,1.0,2.0,5.3,0.3,5785
1,0,1,3.0,6.0,6.2,0.56,5884
1,0,0,2.0,5.0,6.1,0.57,6006
0,1,1,2.0,3.0,5.5,0.3,5786
1,1,0,4.0,8.0,9.5,0.86,5997
1,0,0,2.0,6.0,6.3,0.62,5885
1,1,1,3.0,5.0,5.2,0.41,6053
1,1,1,1.0,4.0,5.1,0.38,5935
0,1,1,2.0,5.0,5.9,0.41,6063
0,1,0,2.0,5.0,5.8,0.46,5905
0,1,0,2.0,4.0,5.9,0.44,5965
0,0,0,1.0,1.0,3.2,0.24,5881
0,1,1,2.0,4.0,6.1,0.39,6054
0,1,0,2.0,4.0,7.5,0.53,6064
0,1,0,2.0,2.0,3.9,0.21,6054
1,1,0,4.0,8.0,8.4,0.77,5822
0,0,1,1.0,2.0,6.0,0.37,5752
1,1,1,1.0,3.0,4.9,0.38,6035
1,0,1,3.0,4.0,6.3,0.47,5950
1,1,0,4.0,8.0,8.0,0.69,5865
1,1,0,2.0,7.0,7.1,0.72,5788
1,1,0,4.0,8.0,7.3,0.73,5931
0,0,0,4.0,8.0,8.2,0.72,5977
0,0,0,2.0,6.0,7.1,0.58,5862
0,1,1,2.0,5.0,4.5,0.38,6043
0,1,1,1.0,4.0,5.0,0.36,6026
1,1,0,2.0,5.0,4.2,0.32,5801
1,0,1,1.0,3.0,4.8,0.35,6051
0,1,1,4.0,8.0,9.4,0.83,5841
1,1,1,4.0,7.0,7.9,0.73,5835
1,0,1,0.0,2.0,2.1,0.15,6055
1,1,1,2.0,5.0,4.2,0.3,5809
1,1,0,1.0,3.0,6.6,0.47,6017
0,0,0,4.0,6.0,7.1,0.68,5940
1,0,0,5.0,10.0,9.7,0.87,5886
0,0,1,1.0,2.0,5.5,0.4,5963
0,1,0,1.0,3.0,5.2,0.43,5966
1,0,0,4.0,7.0,8.4,0.64,6096
1,0,0,2.0,3.0,3.4,0.26,5890
1,1,0,2.0,4.0,7.2,0.59,6059
1,1,0,2.0,6.0,7.0,0.52,5852
0,1,0,2.0,5.0,7.3,0.56,5839
1,1,0,3.0,6.0,6.5,0.56,5951
1,1,0,1.0,4.0,5.8,0.53,5758
1,1,0,2.0,4.0,6.2,0.4,6093
0,1,0,2.0,4.0,4.2,0.31,6007
1,1,0,1.0,5.0,6.6,0.54,6054
1,0,0,2.0,6.0,7.5,0.55,6076
1,1,1,1.0,2.0,3.8,0.22,5921
0,0,1,3.0,5.0,5.0,0.4,6089
1,1,1,3.0,6.0,7.9,0.64,5863
1,1,1,3.0,5.0,6.5,0.48,5780
0,1,1,1.0,3.0,5.2,0.39,5828
0,1,1,3.0,5.0,5.6,0.4,5922
0,0,1,2.0,4.0,6.2,0.49,6014
0,1,0,2.0,2.0,3.9,0.29,5943
1,1,1,2.0,5.0,6.1,0.41,5954
1,1,1,2.0,5.0,5.5,0.37,5792
1,0,0,3.0,6.0,8.6,0.68,5870
0,1,1,2.0,5.0,7.1,0.58,5989
0,1,0,2.0,6.0,6.9,0.55,5971
0,0,1,2.0,3.0,6.9,0.5,5890
1,0,1,2.0,3.0,6.3,0.44,5744
1,1,1,2.0,3.0,5.7,0.37,5938
1,1,0,3.0,7.0,6.3,0.62,6079
1,0,0,2.0,4.0,6.7,0.57,5975
1,1,1,3.0,5.0,4.9,0.37,5831
1,1,1,1.0,4.0,5.4,0.35,6067
1,1,0,4.0,6.0,7.0,0.55,5752
0,1,1,2.0,4.0,6.5,0.61,5941
1,0,1,2.0,3.0,4.0,0.2,6037
0,0,1,0.0,1.0,4.0,0.2,5991
0,1,1,1.0,3.0,3.7,0.17,5844
1,1,0,2.0,4.0,5.2,0.47,5759
1,1,0,0.0,1.0,2.8,0.12,5855
0,0,0,3.0,6.0,8.2,0.65,5999
0,1,1,3.0,4.0,5.5,0.42,5824
0,1,0,1.0,1.0,3.6,0.28,5912
1,0,1,2.0,5.0,6.9,0.67,5919
0,0,0,5.0,9.0,9.4,0.88,5937
1,1,1,1.0,3.0,3.6,0.29,6097
1,1,0,2.0,5.0,6.8,0.6,5780
1,1,1,0.0,1.0,3.8,0.17,5966
0,0,1,1.0,2.0,1.6,0.08,6064
1,1,0,2.0,4.0,5.4,0.48,5772
0,1,0,2.0,4.0,7.3,0.51,5750
0,1,1,0.0,2.0,4.0,0.3,6039
0,1,0,2.0,4.0,7.0,0.54,6070
0,1,0,4.0,8.0,7.8,0.74,6085
1,1,1,1.0,3.0,3.4,0.29,5867
1,0,0,3.0,6.0,7.4,0.52,5898
0,0,0,3.0,6.0,6.6,0.46,5928
0,1,0,1.0,3.0,4.7,0.37,6028
1,1,1,1.0,4.0,4.7,0.36,6005
1,0,0,2.0,5.0,4.9,0.39,6098
1,1,0,2.0,6.0,8.7,0.7,5785
0,0,0,2.0,4.0,5.6,0.38,5795
1,1,1,5.0,9.0,9.4,0.88,5876
1,1,1,1.0,2.0,3.6,0.22,5897
0,1,0,3.0,6.0,7.2,0.63,5856
1,0,0,2.0,5.0,7.2,0.66,5873
0,1,1,2.0,5.0,6.5,0.49,5827
1,1,0,1.0,2.0,5.2,0.44,5772
0,1,1,2.0,4.0,5.5,0.45,6076
0,0,1,0.0,1.0,4.1,0.2,5862
1,1,0,5.0,10.0,9.2,0.75,5952
0,0,1,1.0,1.0,2.6,0.09,5842
0,1,0,1.0,2.0,5.5,0.39,6075
1,1,1,2.0,4.0,2.5,0.14,5988
0,1,1,3.0,7.0,5.8,0.55,5860
0,1,1,1.0,1.0,3.2,0.2,6079
1,0,0,3.0,7.0,8.3,0.66,5939
1,1,0,1.0,3.0,4.6,0.38,5881
0,1,0,2.0,4.0,6.8,0.46,6096
1,1,1,1.0,3.0,4.9,0.43,6095
1,1,0,3.0,6.0,6.4,0.51,5978
0,1,0,2.0,4.0,6.9,0.5,6099
0,1,0,2.0,5.0,6.0,0.55,5944
0,1,1,3.0,5.0,6.5,0.5,5959
0,0,1,1.0,2.0,5.7,0.48,5789
1,1,0,2.0,5.0,7.6,0.6,6067
1,1,0,3.0,5.0,6.0,0.53,5775
0,0,1,1.0,3.0,5.6,0.34,5754
0,0,1,3.0,5.0,5.7,0.39,5794
0,1,0,3.0,4.0,6.3,0.43,5786
1,1,1,3.0,7.0,6.7,0.63,5832
1,1,1,3.0,6.0,4.7,0.43,5962
0,0,1,2.0,4.0,3.9,0.32,5909
1,1,1,1.0,4.0,3.8,0.33,5899
0,0,1,0.0,1.0,3.9,0.21,5890
1,1,0,4.0,8.0,6.7,0.65,5929
0,0,1,2.0,2.0,3.5,0.27,6033
0,1,0,3.0,8.0,7.9,0.76,5901
0,1,1,1.0,1.0,2.0,0.04,5901
0,0,0,0.0,1.0,1.7,0.13,5751
0,0,1,1.0,4.0,6.7,0.5,6108
0,1,1,1.0,3.0,3.2,0.11,5801
0,0,1,1.0,2.0,4.9,0.42,5970
1,1,0,3.0,6.0,8.8,0.7,5785
1,1,1,3.0,5.0,6.2,0.41,5835
1,0,0,1.0,3.0,4.2,0.25,5869
0,0,1,0.0,2.0,3.3,0.18,5946
0,1,0,1.0,2.0,5.2,0.28,6100
1,1,1,2.0,3.0,6.4,0.44,6097
0,0,0,3.0,6.0,6.6,0.52,5866
0,1,1,1.0,2.0,4.8,0.28,6029
0,0,0,2.0,5.0,6.2,0.53,6008
0,1,1,0.0,2.0,4.7,0.27,5962
0,1,0,0.0,1.0,3.1,0.14,5814
0,0,0,3.0,6.0,6.0,0.53,5758
0,1,1,1.0,2.0,3.3,0.24,5913
0,0,0,3.0,6.0,8.1,0.67,6103
0,0,1,2.0,4.0,6.2,0.38,5837
1,1,1,2.0,6.0,6.9,0.65,5811
0,1,0,1.0,3.0,5.5,0.46,5809
0,1,0,3.0,5.0,4.2,0.31,6064
0,1,0,3.0,7.0,6.1,0.55,6095
0,0,0,0.0,1.0,0.0,0.0,5844
0,0,0,4.0,7.0,6.2,0.51,5855
0,0,1,1.0,3.0,4.7,0.23,6016
0,1,1,2.0,4.0,5.1,0.41,5820
0,1,0,1.0,2.0,4.7,0.27,5927
1,1,1,1.0,3.0,6.1,0.41,5891
0,0,0,2.0,4.0,2.7,0.16,5760
1,1,0,4.0,7.0,6.9,0.66,5879
0,1,1,3.0,6.0,5.9,0.49,6065
0,1,0,1.0,3.0,4.4,0.29,5953
1,1,1,3.0,5.0,6.5,0.47,5751
0,1,1,2.0,4.0,4.6,0.31,5900
0,0,0,2.0,5.0,6.8,0.65,6027
1,0,1,2.0,5.0,6.5,0.51,6046
1,0,1,1.0,2.0,3.6,0.2,5768
0,1,1,1.0,2.0,3.9,0.25,5912
1,1,0,2.0,6.0,6.4,0.57,5825
0,1,1,3.0,5.0,5.2,0.48,5813
1,1,0,2.0,5.0,7.6,0.73,5985
0,1,1,0.0,1.0,3.8,0.22,5894
0,1,0,2.0,5.0,7.7,0.59,6034
1,0,1,1.0,3.0,5.5,0.33,6031
1,1,0,2.0,5.0,7.4,0.55,5883
1,1,0,1.0,4.0,4.8,0.36,6088
1,1,1,1.0,3.0,4.2,0.27,5824
0,0,1,2.0,4.0,5.9,0.41,5866
0,1,0,3.0,6.0,6.0,0.53,6070
0,1,0,4.0,8.0,9.0,0.74,6050
1,0,0,2.0,6.0,6.7,0.54,5960
1,1,1,3.0,6.0,6.1,0.56,5926
1,1,0,1.0,3.0,5.2,0.32,5772
1,1,0,4.0,7.0,6.7,0.51,6069
0,1,1,2.0,4.0,5.6,0.35,5959
1,1,0,1.0,2.0,5.3,0.49,5869
0,1,1,4.0,6.0,7.7,0.67,5754
0,1,0,2.0,4.0,3.5,0.29,5857
1,1,0,2.0,4.0,4.7,0.4,5812
1,1,1,3.0,6.0,5.0,0.35,6056
0,1,1,1.0,2.0,4.7,0.23,5885
1,0,1,1.0,4.0,6.4,0.41,5830
1,1,1,3.0,6.0,7.3,0.59,5996
0,0,1,1.0,4.0,5.1,0.39,5783
0,0,1,1.0,4.0,6.0,0.44,5856
1,1,0,4.0,7.0,7.6,0.68,5985
1,1,0,2.0,4.0,6.0,0.42,5867
1,1,1,3.0,5.0,6.3,0.44,6066
0,1,0,4.0,6.0,7.2,0.64,5856
0,1,0,2.0,3.0,3.4,0.18,5849
1,1,0,2.0,4.0,5.9,0.39,5839
0,0,1,2.0,4.0,4.0,0.32,6071
1,1,0,2.0,6.0,6.1,0.58,5922
1,1,1,4.0,7.0,5.6,0.49,5908
1,1,0,3.0,5.0,6.1,0.6,5832
1,1,0,2.0,6.0,8.1,0.65,5768
0,1,1,3.0,4.0,5.2,0.29,5781
1,1,1,0.0,1.0,3.1,0.17,5906
0,0,0,3.0,6.0,6.1,0.56,5822
0,1,1,3.0,6.0,5.6,0.43,5808
0,1,1,1.0,2.0,4.5,0.29,5954
1,0,1,3.0,6.0,6.6,0.65,5917
0,1,0,4.0,7.0,7.0,0.6,5793
0,1,1,3.0,5.0,5.4,0.34,5787
0,1,1,2.0,4.0,5.5,0.33,5761
0,1,1,3.0,6.0,4.6,0.35,5993
1,1,0,5.0,9.0,7.8,0.79,5800
0,1,1,1.0,4.0,4.8,0.41,6060
1,1,0,4.0,8.0,9.6,0.86,5899
0,1,1,3.0,7.0,8.0,0.8,5807
0,0,1,3.0,5.0,5.1,0.32,5799
0,1,0,3.0,6.0,8.7,0.76,5877
0,1,1,0.0,1.0,2.6,0.15,5952
0,0,0,3.0,5.0,5.7,0.54,5928
1,1,0,4.0,8.0,8.8,0.7,5854
0,1,0,3.0,7.0,7.7,0.57,5921
0,0,0,1.0,3.0,5.5,0.44,5828
0,0,0,3.0,6.0,4.9,0.32,5948
0,0,0,3.0,5.0,4.7,0.38,5875
1,0,0,4.0,7.0,9.2,0.82,5972
1,0,0,3.0,7.0,6.2,0.58,6001
0,1,0,5.0,10.0,9.5,0.94,5967
0,1,0,3.0,6.0,5.3,0.43,6090
0,1,1,1.0,4.0,6.8,0.5,5946
0,0,0,2.0,3.0,6.1,0.41,5990
1,1,1,2.0,3.0,3.3,0.25,6014
1,1,0,2.0,6.0,5.5,0.51,5868
1,1,0,2.0,7.0,8.8,0.8,5843
0,1,0,2.0,4.0,5.7,0.36,5743
0,1,1,3.0,4.0,4.3,0.38,6096
0,0,1,1.0,4.0,6.2,0.41,5989
0,0,0,3.0,5.0,7.1,0.64,5936
0,1,1,2.0,5.0,3.7,0.3,5821
1,0,0,3.0,6.0,5.7,0.44,5856
1,1,0,1.0,1.0,3.6,0.15,5839
0,1,0,4.0,8.0,7.5,0.71,5857
1,1,0,2.0,5.0,6.8,0.54,6103
0,1,1,2.0,3.0,5.7,0.44,6091
0,1,0,1.0,2.0,0.7,0.0,5956
0,1,1,1.0,2.0,2.9,0.15,6041
0,1,1,3.0,7.0,7.5,0.77,5836
1,1,0,2.0,3.0,6.3,0.48,5943
0,1,1,2.0,4.0,5.6,0.43,6043
1,1,1,2.0,4.0,2.8,0.11,5799
1,1,1,2.0,6.0,7.5,0.76,5811
1,1,0,1.0,1.0,5.1,0.29,5785
1,1,1,4.0,7.0,6.4,0.63,5877
0,1,1,3.0,7.0,7.1,0.58,5958
0,0,1,2.0,5.0,5.8,0.48,5768
1,1,1,0.0,1.0,3.4,0.18,5970
1,0,0,3.0,5.0,7.3,0.6,5756
1,0,1,1.0,2.0,4.4,0.24,5836
1,1,0,1.0,3.0,4.8,0.39,5860
1,1,0,2.0,6.0,5.9,0.53,5933
0,1,1,2.0,3.0,4.4,0.34,5905
0,0,1,1.0,4.0,5.4,0.41,6058
0,1,0,2.0,4.0,5.3,0.44,5823
0,1,1,0.0,1.0,2.1,0.12,6005
0,1,1,3.0,5.0,6.7,0.45,5763
1,1,0,2.0,5.0,4.3,0.36,5900
1,1,0,0.0,1.0,0.2,0.0,5777
1,1,1,2.0,3.0,4.0,0.31,6005
0,1,0,3.0,8.0,9.5,0.93,5837
0,1,1,2.0,3.0,2.8,0.15,6040
0,1,1,0.0,1.0,0.2,0.0,5777
0,0,0,3.0,5.0,5.1,0.38,5991
1,1,1,2.0,4.0,3.8,0.31,5812
